chunk_vid_id,chunk_vid_duration,chunk_vid_dimention,chunk_vid_definition,chunk_vid_caption,chunk_vid_licensedContent,chunk_vid_projection
oP-6Z1RlaIc,PT4M2S,2d,hd,FALSE,TRUE,rectangular
0UJ54iT4yIU,PT7M42S,2d,hd,TRUE,TRUE,rectangular
AGVW9Z4RcUc,PT3M51S,2d,hd,TRUE,TRUE,rectangular
vIVaLtJmyPs,PT13M13S,2d,hd,FALSE,TRUE,rectangular
pcWKpGzhgq4,PT2M41S,2d,hd,FALSE,TRUE,rectangular
cTRJYA6dibU,PT3M40S,2d,hd,FALSE,TRUE,rectangular
a8G-vVFKm4M,PT21M31S,2d,hd,FALSE,TRUE,rectangular
YTiYQwk7Bw0,PT9M2S,2d,hd,FALSE,TRUE,rectangular
WzQrvFAPoII,PT21M27S,2d,hd,FALSE,TRUE,rectangular
v5e4gwDGrNk,PT9M11S,2d,hd,TRUE,TRUE,rectangular
AlrbKKGIcjI,PT20M17S,2d,hd,FALSE,TRUE,rectangular
Z7Q_FBRgqq0,PT5M7S,2d,hd,FALSE,TRUE,rectangular
l4bAoNAx2uo,PT6M32S,2d,hd,TRUE,TRUE,rectangular
oGSNSLD8rcw,PT21S,2d,hd,TRUE,FALSE,rectangular
8oHAKlhOeZQ,PT33M58S,2d,hd,FALSE,TRUE,rectangular
bO7Qwgs4IFU,PT14M45S,2d,hd,TRUE,TRUE,rectangular
sbIED1w1WuQ,PT7M52S,2d,hd,TRUE,TRUE,rectangular
W2om14p_xfw,PT3M34S,2d,hd,FALSE,TRUE,rectangular
U_u91SjrEOE,PT4M47S,2d,hd,TRUE,TRUE,rectangular
sxIwJVRWp1E,PT4M7S,2d,hd,TRUE,TRUE,rectangular
u-WXjOBFdgw,PT6M33S,2d,hd,FALSE,TRUE,rectangular
_EuW3ClJ19A,PT3M2S,2d,hd,FALSE,TRUE,rectangular
9Ca8zWJOlFQ,PT15M55S,2d,hd,FALSE,TRUE,rectangular
HfCqloq_jjw,PT2M9S,2d,hd,FALSE,TRUE,rectangular
2CZXls3Yclo,PT9M44S,2d,hd,FALSE,FALSE,rectangular
A5TPOKoE1_M,PT38M29S,2d,hd,TRUE,TRUE,rectangular
I-EjUI-lkrs,PT37M51S,2d,hd,FALSE,TRUE,rectangular
jr9QtXwC9vc,PT2M29S,2d,hd,FALSE,TRUE,rectangular
rw24wc00q3Q,PT1M55S,2d,hd,FALSE,TRUE,rectangular
SOcArtrkU-M,PT51S,2d,hd,FALSE,TRUE,rectangular
qJ2xXGIJT10,PT11M15S,2d,hd,TRUE,TRUE,rectangular
024W1BxcIys,PT14M57S,2d,hd,FALSE,TRUE,rectangular
eAyxMv4IBH8,PT2M17S,2d,hd,FALSE,FALSE,rectangular
qZN9ZSbR3mY,PT23M56S,2d,hd,TRUE,TRUE,rectangular
meRKbDusFN0,PT16S,2d,hd,TRUE,TRUE,rectangular
rt2K9NyDn6c,PT11M13S,2d,hd,TRUE,TRUE,rectangular
YkfE8hHUzt4,PT41S,2d,hd,FALSE,TRUE,rectangular
MOi9ZIaV9V0,PT5M31S,2d,hd,TRUE,TRUE,rectangular
MB5LAU5z9gk,PT10M,2d,hd,FALSE,TRUE,rectangular
8sdQ7dP9Drs,PT1M26S,2d,hd,FALSE,FALSE,rectangular
iJW9_d0EX6o,PT45M29S,2d,hd,TRUE,TRUE,rectangular
aumXGJnd_hU,PT5M7S,2d,hd,TRUE,TRUE,rectangular
Rl6pkKsIxBE,PT7M27S,2d,hd,TRUE,TRUE,rectangular
FIY3e74wkXY,PT21M54S,2d,hd,FALSE,TRUE,rectangular
0VNjuoiAEd0,PT3M56S,2d,hd,FALSE,TRUE,rectangular
i-9MxEi5oWg,PT15M34S,2d,sd,FALSE,TRUE,rectangular
#NAME?,PT1H12M36S,2d,hd,TRUE,TRUE,rectangular
uCU5Bc2Q6pc,PT19M33S,2d,hd,FALSE,TRUE,rectangular
j06RTT1fUUQ,PT53M10S,2d,hd,FALSE,TRUE,rectangular
K7ZAzLjnqa0,PT5M59S,2d,hd,FALSE,TRUE,rectangular
t2BfG32IDqs,PT5M49S,2d,hd,TRUE,TRUE,rectangular
rvkm8DPbWgc,PT21M16S,2d,sd,FALSE,FALSE,rectangular
hXBqZ1YKAcU,PT7M55S,2d,hd,TRUE,TRUE,rectangular
u-PeNDF7jCI,PT1H30M59S,2d,sd,FALSE,TRUE,rectangular
ZO1nhDbqL-s,PT5M7S,2d,hd,TRUE,TRUE,rectangular
T2hyuhoBQdo,PT28M52S,2d,hd,TRUE,TRUE,rectangular
w86gSYR-otA,PT4M29S,2d,hd,FALSE,TRUE,rectangular
1bAN230aliU,PT6M36S,2d,hd,FALSE,TRUE,rectangular
i-LCORFB860,PT3M26S,2d,hd,FALSE,FALSE,rectangular
yGZ0yfEv1fU,PT10M9S,2d,hd,FALSE,FALSE,rectangular
SPcn4iABOq4,PT1H29M11S,2d,hd,FALSE,TRUE,rectangular
mQbsY2KTFHk,PT26M32S,2d,hd,FALSE,TRUE,rectangular
TRZPLiLl9HY,PT7M14S,2d,hd,FALSE,TRUE,rectangular
